"OBJECTID","DCRAINTERNALNUMBER","ISSUE_DATE","PERMIT_ID","PERMIT_TYPE_NAME","PERMIT_SUBTYPE_NAME","PERMIT_CATEGORY_NAME","APPLICATION_STATUS_NAME","FULL_ADDRESS","DESC_OF_WORK","SSL","ZONING","PERMIT_APPLICANT","FEE_TYPE","FEES_PAID","OWNER_NAME","LASTMODIFIEDDATE","CITY","STATE","LATITUDE","LONGITUDE","XCOORD","YCOORD","ZIPCODE","MARADDRESSREPOSITORYID","DCSTATADDRESSKEY","DCSTATLOCATIONKEY","WARD","ANC","SMD","DISTRICT","PSA","NEIGHBORHOODCLUSTER","HOTSPOT2006NAME","HOTSPOT2005NAME","HOTSPOT2004NAME","BUSINESSIMPROVEMENTDISTRICT","YEAR"
223864,"111110267","2012-05-07T00:00:00.000Z","B1110267","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","1616 RHODE ISLAND AVE NW","BUILD A NEW 9 STORY BUILDING WITH A CONCOURSE LEVEL AND 3 PARKING LEVELS.","0182    0082","C-4","COLIN  CLARK","257.40 (NEW2);35770.00 (NEW1);25.74 (GRNEFEE);5577.00 (NEWEFEE);20000.00 (FILINGFEE)","61630","CENTER FOR STRATEGIC AND INTERNATIONAL STUDIES, INC.","2016-01-22T08:16:08.000Z","WASHINGTON","DC",38.906482,-77.037742,396726.44,137625.54,"20036",309734,177235,177235,"2","2B","2B05","SECOND","208","6","NONE","NONE","NONE","NONE",2012
223866,"111100704","2012-07-23T00:00:00.000Z","B1100704","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","1401 5TH ST NW","CONSTRUCT NEW TWO STORY WITH BASEMENT , 2 UNIT CONDO.","0511    0047",NA,"ROBERT  WOOLAND","148.85 (REVISION);676.50 (FILINGFEE);799.98 (ALTREPAIR);12.00 (GREENBLDG)","1637","LATNEY LIMITED LIABILITY COMPANY","2016-01-12T13:10:11.000Z","WASHINGTON","DC",38.908728,-77.018719,398376.42,137874.31,"20001",310592,265226,265413,"6","2C","2C02","THIRD","308","7","NONE","NONE","NONE","NONE",2012
223636,"111105512","2012-10-09T00:00:00.000Z","B1105512","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","708 BARNES ST NE","NEW SINGLE FAMILY DWELLING IN THE POLLIN MEMORIAL COMMUNITY DEVELOPMENT - PUD 0630.","5040    0804",NA,"PHILLIP  DUNHAM","9.81 (NEW2);66.34 (NEWEFEE3);663.38 (NEW1);663.37 (FILINGFEE);0.98 (GRNEFEE);66.34 (NEWEFEE)","1470","DISTRICT OF COLUMBIA HOUSING AUTHORITY","2016-01-12T13:10:11.000Z","WASHINGTON","DC",38.90145,-76.950586,404286.31,137067.4,"20019",309195,464455,399605,"7","7D","7D07","SIXTH","601","30","NONE","NONE","NONE","NONE",2012
223637,"111105513","2012-10-09T00:00:00.000Z","B1105513","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","706 BARNES ST NE","NEW SINGLE FAMILY DWELLING IN THE POLLIN MEMORIAL COMMUNITY DEVELOPMENT - PUD 0630.",NA,NA,"PHILLIP  DUNHAM","0.98 (GRNEFEE);66.34 (NEWEFEE3);663.37 (FILINGFEE);66.34 (NEWEFEE);663.38 (NEW1);9.81 (NEW2)","1470","DISTRICT OF COLUMBIA HOUSING AUTHORITY","2016-01-12T13:10:11.000Z","WASHINGTON","DC",38.901418,-76.950631,404282.39,137063.85,"20019",309196,464457,399615,"7","7D","7D07","SIXTH","601","30","NONE","NONE","NONE","NONE",2012
223638,"111105514","2012-10-09T00:00:00.000Z","B1105514","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","704 BARNES ST NE","NEW SINGLE FAMILY DWELLING IN THE POLLIN MEMORIAL COMMUNITY DEVELOPMENT - PUD 0630.","5040    0804",NA,"PHILLIP  DUNHAM",NA,"1470","DISTRICT OF COLUMBIA HOUSING AUTHORITY","2015-06-03T07:00:42.000Z","WASHINGTON","DC",38.901381,-76.950675,404278.59,137059.73,"20019",309197,464459,399606,"7","7D","7D07","SIXTH","601","30","NONE","NONE","NONE","NONE",2012
223639,"111105515","2012-10-09T00:00:00.000Z","B1105515","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","702 BARNES ST NE","NEW SINGLE FAMILY DWELLING IN THE POLLIN MEMORIAL COMMUNITY DEVELOPMENT - PUD 0630.","5040    0804",NA,"PHILLIP  DUNHAM","663.37 (FILINGFEE);66.34 (NEWEFEE);0.98 (GRNEFEE);663.38 (NEW1);66.34 (NEWEFEE3);9.81 (NEW2)","1470","DISTRICT OF COLUMBIA HOUSING AUTHORITY","2016-01-12T13:10:11.000Z","WASHINGTON","DC",38.901343,-76.950718,404274.83,137055.52,"20019",309198,464461,399616,"7","7D","7D07","SIXTH","601","30","NONE","NONE","NONE","NONE",2012
223640,"111105591","2012-02-06T00:00:00.000Z","B1105591","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","100 JOLIET ST SW","ADDITION OF BOXING ANNEX TO BALD EAGLE REC CENTER.","PAR 02470038",NA,"DOUGLAS  FOSTER","13.22 (NEW2);449.91 (NEWEFEE);2242.95 (FILINGFEE);2242.95 (NEW1)","4949","UNITED STATES OF AMERICA","2016-01-12T13:10:11.000Z","WASHINGTON","DC",38.81889,-77.010162,399117.53,127901.54,"20032",301277,142573,142573,"8","8D","8D04","SEVENTH","708","NONE","NONE","NONE","NONE","NONE",2012
223642,"111105700","2012-05-01T00:00:00.000Z","B1105700","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","318 I ST NE","NEW SIX STORY MULTI-FAMILY DWELLING WITH TWO UNDERGROUND LEVELS OF PARKING.  138 APARTMENT UNITS.  EXISING BUILDING ON SITE HAS BEEN RAZED.  SITE IS VACANT.","0775    0050",NA,"AVALONBAY COMMU  JONATHAN COX","250.00 (ZONEINCLUS);32.00 (GRNEFEE);715.00 (PROJECTION1);3360.00 (NEWEFEE);71.50 (PROJECTEFEE);16845.00 (FILINGFEE);16755.00 (NEW1);320.00 (NEW2)","38349","AVALONBAY COMMUNITIES, INC JONATHAN COX","2016-01-12T13:10:11.000Z","WASHINGTON","DC",38.90152,-77.000991,399914.01,137073.98,"20002",39251,26557,26557,"6","6C","6C05","FIRST","104","25","NONE","NONE","NONE","NONE",2012
223645,"111106225","2012-05-14T00:00:00.000Z","B1106225","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","751 P ST NW","NEW CONSTRUCTION OF A 12 UNIT CONDOMINIUM BUILDING","0421    0067",NA,"ROSHAWN  DENNIS","0.01 (NEW2);2175.87 (FILINGFEE);2175.87 (NEW1);435.18 (NEWEFEE)","7245","CAPITAL CITY REAL ESTATE","2015-12-03T08:14:01.000Z","WASHINGTON","DC",38.90981,-77.0226,398039.85,137994.47,"20001",309484,466675,401688,"6","2C","2C01","THIRD","308","7","NONE","NONE","NONE","NONE",2012
223701,"111110348","2012-09-14T00:00:00.000Z","B1110348","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","1400 K ST SE","2 UNITS 3 BEDROOM AND 2 1/2 BATH","1065    0143","R-4","OUSMANE  BA","1327.80 (NEW1);33.00 (FILINGFEE);136.86 (NEWEFEE);7.78 (NEW2)","1505","DASHLAR LLC","2016-01-12T13:10:11.000Z","WASHINGTON","DC",38.878555,-76.985278,401277.46,134524.87,"20003",65291,40263,40263,"6","6B","6B06","FIRST","106","26","NONE","NONE","NONE","NONE",2012
223702,"111110755","2012-06-15T00:00:00.000Z","B1110755","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","1700 EUCLID ST NW","NEW CONSTRUCTION OF A MULTI UNIT APARTMENT BUILDING","2566    0844","R-5-B","MICHELE  MILLER","250.00 (REVISION)","21305","1700  EUCLID STREET LLC","2015-06-03T07:00:42.000Z","WASHINGTON","DC",38.923063,-77.039093,396610.03,139466.17,"20009",284067,122906,122906,"1","1C","1C07","THIRD","303","1","NONE","NONE","NONE","NONE",2012
223709,"111110916","2012-01-03T00:00:00.000Z","B1110916","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","1811 3RD ST NE","A NEW CONSTRUCTION 2 UNIT FLAT.","0059    3570","R-4","CARLOS  IGLESIAS","1129.47 (REVISION);632.40 (FILINGFEE)","1762","57TH STREET MEWS, INC","2015-10-06T06:48:19.000Z","WASHINGTON","DC",38.914591,-77.001739,399849.16,138525,"20002",55818,33380,33380,"5","5C","5C05","FIFTH","502","21","NONE","NONE","NONE","NONE",2012
223710,"111110917","2012-01-04T00:00:00.000Z","B1110917","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","1809 3RD ST NE","A NEW CONSTRUCTION 2 UNIT FLAT.","3570    0060","R-4","CARLOS  IGLESIAS","632.40 (FILINGFEE);1129.47 (REVISION)","1762","57TH STREET MEWS, INC","2015-09-05T06:50:32.000Z","WASHINGTON","DC",38.914526,-77.001745,399848.62,138517.81,"20002",309673,384652,307227,"5","5C","5C05","FIFTH","502","21","NONE","NONE","NONE","NONE",2012
223712,"111111034","2012-07-10T00:00:00.000Z","B1111034","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","4801 SARGENT RD NE","NEW CONSTRUCTION  OF A 5TH YOUTH RESIDENTIAL CARE HOME PURSUANT TO BZA ORDER #18226 - EXHIBIT 31 - REVISED SITE PLANS - GRANTED WITH 8 CONDITIONS ON JUNE 29, 2011.","3977    0134","R-2","LEON  PAUL","1428.84 (NEW1);15.88 (NEW2);1428.84 (FILINGFEE);287.36 (NEWEFEE)","3560","FATHER FLANAGANS BOYS TOWN","2016-01-12T13:10:11.000Z","WASHINGTON","DC",38.948446,-76.986801,401144.16,142283.31,"20017",288277,126817,126817,"5","5A","5A08","FOURTH","405","20","NONE","NONE","NONE","NONE",2012
223717,"111111676","2012-01-19T00:00:00.000Z","B1111676","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","5257 WATSON ST NW","CONSTRUCT NEW SINGLE FAMILY HOME AND SITE IMPROVEMENTS PER APPROVED PLANS.","1448    0900",NA,"KAREN  MARTINO","1780.44 (NEW1);870.56 (FILINGFEE);265.10 (NEWEFEE);19.63 (NEW2)","2936","STEVEN J QUAMME","2016-01-12T13:10:11.000Z","WASHINGTON","DC",38.935,-77.109638,390494.26,140796.31,"20016",308908,462985,398293,"3","3D","3D04","SECOND","205","13","NONE","NONE","NONE","NONE",2012
223725,"111200049","2012-02-13T00:00:00.000Z","B1200049","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","3220 15TH ST NE","NEW CONSTRUCTION SINGLE FAMILY HOUSE ELECTRICAL PLUMBING MECHANICAL DUCT WORK FENCE GARAGE DOOR FRAME AS PER PLANS","5890    0138",NA,"TAHER  KHATIB","1232.22 (REVISION);742.50 (FILINGFEE)","1975","DISTRICT PROPERTIES","2016-01-12T13:10:11.000Z","WASHINGTON","DC",38.930503,-76.984527,401341.58,140291.47,"20017",309753,468615,403396,"5","5A","5A07","FIFTH","504","22","NONE","NONE","NONE","NONE",2012
223726,"111200136","2012-07-27T00:00:00.000Z","B1200136","CONSTRUCTION","NEW BUILDING","NA","PERMIT ISSUED","4 ATLANTIC ST SW","NEW 4 STORY 50,000 SF MEDICAL CLINIC, RESOURCE CENTER AND COMMUNITY OF HOPE CORPORATE OFFICES.","6172    0803",NA,"PHILLIP  DUNHAM","9.67 (GRNEFEE);13263.00 (NEW1);96.72 (NEW2);2357.55 (NEWEFEE);10312.50 (FILINGFEE)","26039","COMMUNITY OF HOPE INC","2016-01-12T13:10:11.000Z","WASHINGTON","DC",38.83128,-77.008736,399241.45,129276.85,"20032",309361,465297,400382,"8","8D","8D07","SEVENTH","708","39","NONE","NONE","NONE","NONE",2012
223727,"111200158","2012-01-10T00:00:00.000Z","B1200158","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","109 PEABODY ST NE","CONSTRUCT A NEW SINGLE FAMILY DETACHED RESIDENCE.","3714    0127",NA,"CURT  ADKINS","538.84 (NEW1);6.54 (NEW2);538.73 (FILINGFEE);108.41 (NEWEFEE)","1193","6000 NEW HAMPSHIRE AVENUE, LLC","2015-09-16T11:36:08.000Z","WASHINGTON","DC",38.96251,-77.005255,399544.59,143844.5,"20011",309950,469512,404131,"4","4B","4B07","FOURTH","406","19","NONE","NONE","NONE","NONE",2012
223728,"111200453","2012-02-27T00:00:00.000Z","B1200453","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","5303 E ST SE","NEW CONSTREUCTION - SINGLE FAMILY HOUSE
ELECTRICAL, PLUMBING, MECHANICAL DUCT WORK, FENCE AND GARAGE DOOR FRAME AS PER PLANS","5298   0034",NA,"TAHER  KHATIB","408.00 (NEW1);82.08 (NEWEFEE);4.80 (NEW2);408.00 (FILINGFEE)","903","RUPSHA 2011","2016-01-12T13:10:11.000Z","WASHINGTON","DC",38.881776,-76.926468,406380.04,134884.88,"20019",310070,469866,404357,"7","7E","7E03","SIXTH","604","33","NONE","NONE","NONE","NONE",2012
223729,"111200679","2012-04-04T00:00:00.000Z","B1200679","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","421 60TH ST NE","ERECT A NEW SINGLE FAMILY DWELLING ON SUITE.","5261    0009","R-5-A","IKE  AGBY","6.20 (NEW2);109.19 (NEWEFEE);542.85 (NEW1);542.85 (FILINGFEE)","1201","4601 FOOTE STREET NE LLC","2016-01-12T13:10:11.000Z","WASHINGTON","DC",38.895275,-76.914709,407399,136384.19,"20019",306710,408049,351348,"7","7C","7C05","SIXTH","608","31","NONE","NONE","NONE","NONE",2012
223730,"111200680","2012-04-04T00:00:00.000Z","B1200680","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","417 60TH ST NE","ERECT A NEW SINGLE FAMILY DWELLING ON SITE.","5261    0007","R-5-A","IKE  AGBY","1.00 (NEW2);542.85 (NEW1);108.67 (NEWEFEE);542.85 (FILINGFEE)","1195","4601 FOOTE STREET NE LLC","2016-01-22T08:16:08.000Z","WASHINGTON","DC",38.895163,-76.914714,407398.55,136371.72,"20019",306040,423809,363350,"7","7C","7C05","SIXTH","608","31","NONE","NONE","NONE","NONE",2012
223731,"111200747","2012-10-24T00:00:00.000Z","B1200747","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","451 S ST NW","ERECT A NEW TWO UNIT RESIDENTIAL BUILDING","E475    0022","R4","GEORGE T SIMPSON","811.14 (REVISION)","811","5TH  & S ST NW LLC","2015-06-03T07:00:42.000Z","WASHINGTON","DC",38.914275,-77.018759,398373.08,138490.04,"20001",309943,469418,404028,"6","2C","2C02","THIRD","306","3","NONE","NONE","NONE","NONE",2012
223732,"111200789","2012-08-17T00:00:00.000Z","B1200789","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","920 RANDOLPH ST NW","CONSTRUCT A NEW SIX STORY MIXED USE BUILDING.  218 RESIDENTIAL UNITS OVER RETAIL SPACE.","2905    0809",NA,"DUBALL PETWORTH, LLC; DAVID FONTANA  MCKEEVER SERVICES CORP.","456.00 (NEW2);45.60 (GRNEFEE);9145.00 (NEWEFEE);250.00 (ZONEINCLUS);71200.00 (NEW1);20000.00 (FILINGFEE)","101097","SAFEWAY INC","2016-01-12T13:10:11.000Z","WASHINGTON","DC",38.93851,-77.02563,397777.97,141180.59,"20011",310447,409031,352218,"4","4C","4C06","FOURTH","404","18","NONE","NONE","NONE","NONE",2012
224239,"111111154","2012-02-21T00:00:00.000Z","B1111154","CONSTRUCTION","NEW BUILDING","NA","COMPLETE","5253 WATSON ST NW","CONSTRUCT NEW SINGLE FAMILY HOME AND SITE IMPROVEMENTS PER APPROVED PLANS.","1448    0900",NA,"KAREN  MARTINO","1587.76 (NEW1);17.64 (NEW2);1587.76 (FILINGFEE);319.32 (NEWEFEE)","3512","GIBSONS BUILDERS LLC","2016-01-12T13:10:12.000Z","WASHINGTON","DC",38.935031,-77.109371,390517.36,140799.74,"20016",308909,462987,398294,"3","3D","3D04","SECOND","205","13","NONE","NONE","NONE","NONE",2012
224240,"111200230","2012-02-09T00:00:00.000Z","B1200230","CONSTRUCTION","NEW BUILDING","NA","COMPLETE","2338 KING PL NW","CONSTRUCT NEW HOUSE, RETAINING WALL AND SITE IMPROVEMENTS PER APPROVED PLANS.","1394    0023","R-1-B","KAREN  MARTINO","878.40 (NEW1);176.85 (NEWEFEE);878.40 (FILINGFEE);11.71 (NEW2)","1945","SANDY SPRING BUILDERS, LLC","2016-01-22T08:16:08.000Z","WASHINGTON","DC",38.92129,-77.095855,391687.65,139272.99,"20007",271582,114730,114730,"3","3D","3D06","SECOND","205","13","NONE","NONE","NONE","NONE",2012
224241,"111205026","2012-03-19T00:00:00.000Z","B1205026","CONSTRUCTION","NEW BUILDING","NA","COMPLETE","1533 INDEPENDENCE AVE SE","CONSTRUCTION OF NEW SINGLE FAMILY DWELLING AS PER PLANS SUBMITTED ON EXISTING VACANT LOT","1072S   0801",NA,"CCS  & ASSOCIATES","345.92 (FILINGFEE);432.00 (FILINGFEE)","778","C&S DEVELOPMENT, LLC","2015-08-08T07:01:53.000Z","WASHINGTON","DC",38.887404,-76.982736,401497.85,135507.18,"20003",310368,265732,265919,"6","6B","6B08","FIRST","108","26","NONE","NONE","NONE","NONE",2012
223771,"111200989","2012-02-21T00:00:00.000Z","B1200989","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","300 L ST NE","CONSTRUCT A NEW 6-STORY & CELLAR MIXED USE - RETAIL/A 49-UNIT APARTMENT BUILDING , AND  2-SPACE ON SURFACE PARKING & 1 LEVEL OF UNDERGROUND AS CELLAR 20-SPACE PARKING GARAGE.","0773    0004","C-2-B","A?W 300 L STREE  LLC; CARLOS R IGLESIAS","27.70 (NEW2);112.56 (NEW2);9145.50 (FILINGFEE);1870.10 (NEWEFEE);14.03 (GRNEFEE);410.00 (NEW1);9145.50 (NEW1)","39016","A?W 300 L STREET LLC","2016-01-12T13:10:11.000Z","WASHINGTON","DC",38.903987,-77.001795,399844.31,137347.85,"20002",42495,28899,28899,"6","6C","6C04","FIRST","104","25","NONE","NONE","NONE","NONE",2012
223772,"111201070","2012-05-23T00:00:00.000Z","B1201070","CONSTRUCTION","NEW BUILDING","NA","COMPLETED","402 EASTERN AVE NE UNIT A","NEW 2 STORY + ATTIC SINGLE FAMILY DWELLING, BUILDING TYPE A - SMALLER UNIT.","5260    0018","R-5-A","DIX STREET COOR  REVITALIZATION PARTNERS, LLC; DAVID FONTANA  MCKEEVER SERVICES CORP.","243.60 (FILINGFEE);296.29 (NEW1)","540","DIX STREET CORRIDOR REVITALIZATION PARTNERS, LLC","2015-10-06T06:48:19.000Z","WASHINGTON","DC",38.89496,-76.912409,407598.52,136349.51,"20019",150807,59507,59507,"7","7C","7C05","SIXTH","608","31","NONE","NONE","NONE","NONE",2012
