"","FlippedHomes2011$Address","city","state","zip"
"1040","6306 7TH ST NW","Washington","DC",20011
"1041","632 I ST NE","Washington","DC",20002
"1042","635 20TH ST NE","Washington","DC",20002
"1043","635 CONSTITUTION AVE NE","Washington","DC",20002
"1044","635 POWHATAN PL NW","Washington","DC",20011
"1045","638 FARRAGUT ST NW","Washington","DC",20011
"1046","639 HAMILTON ST NW","Washington","DC",20011
"1047","639 INGRAHAM ST NW","Washington","DC",20011
"1048","64 BRYANT ST NW","Washington","DC",20001
"1049","640 Q ST NW","Washington","DC",20001
"1050","6400 9TH ST NW","Washington","DC",20012
"1051","6407 9TH ST NW","Washington","DC",20012
"1052","6409 16TH ST NW","Washington","DC",20012
"1053","6409 7TH ST NW","Washington","DC",20012
"1054","641 GALLATIN ST NW","Washington","DC",20011
"1055","641 GALLATIN ST NW","Washington","DC",20011
"1056","6439 2ND PL NW","Washington","DC",20012
"1057","645 K ST NE","Washington","DC",20002
"1058","646 MORTON PL NE","Washington","DC",20002
"1059","649 20TH ST NE","Washington","DC",20002
"1060","650 MADISON ST NE","Washington","DC",20011
"1061","6501 3RD ST NW","Washington","DC",20012
"1062","6516 BLAIR RD NW","Washington","DC",20012
"1063","6516 EASTERN AVE NE","Washington","DC",20012
"1064","6522 7TH ST NW","Washington","DC",20012
"1065","653 HAMILTON ST NW","Washington","DC",20011
"1066","660 G ST NE","Washington","DC",20002
"1067","6625 HARLAN PL NW","Washington","DC",20012
"1068","67 BRYANT ST NW","Washington","DC",20001
"1069","6713 13TH PL NW","Washington","DC",20012
"1070","6725 PINEY BRANCH RD NW","Washington","DC",20012
"1071","6725 PINEY BRANCH RD NW","Washington","DC",20012
"1072","6729 PINEY BRANCH RD NW","Washington","DC",20012
"1073","704 K ST NE","Washington","DC",20002
"1074","707 SHERIDAN ST NW","Washington","DC",20011
"1075","708 EMERSON ST NE","Washington","DC",20017
"1076","709 7TH ST NE","Washington","DC",20002
"1077","709 SHERIDAN ST NW","Washington","DC",20011
"1078","709 TUCKERMAN ST NW","Washington","DC",20011
"1079","711 KEARNY ST NE","Washington","DC",20017
"1080","7110 ALASKA AVE NW","Washington","DC",20012
"1081","712 5TH ST SE","Washington","DC",20003
"1082","7121 GEORGIA AVE NW","Washington","DC",20012
"1083","7125 7TH ST NW","Washington","DC",20012
"1084","713 FLORIDA AVE NE","Washington","DC",20002
"1085","713 HAMILTON ST NW","Washington","DC",20011
"1086","7137 GEORGIA AVE NW","Washington","DC",20012
"1087","715 SOMERSET PL NW","Washington","DC",20011
"1088","716 DECATUR ST NW","Washington","DC",20011
"1089","716 INGRAHAM ST NW","Washington","DC",20011
"1090","717 GIRARD ST NW","Washington","DC",20001
"1091","717 TEWKESBURY PL NW","Washington","DC",20012
"1092","718 HAMILTON ST NW","Washington","DC",20011
"1093","718 ROXBORO PL NW","Washington","DC",20011
"1094","719 10TH ST NE","Washington","DC",20002
"1095","719 MADISON ST NW","Washington","DC",20011
"1096","719 SOMERSET PL NW","Washington","DC",20011
"1097","72 O ST NW","Washington","DC",20001
"1098","720 KENTUCKY AVE SE","Washington","DC",20003
"1099","720 SHERIDAN ST NW","Washington","DC",20011
"1100","722 JEFFERSON ST NW","Washington","DC",20011
"1101","723 HARVARD ST NW","Washington","DC",20001
"1102","723 MASSACHUSETTS AVE NE","Washington","DC",20002
"1103","724 FARRAGUT ST NW","Washington","DC",20011
"1104","725 KENTUCKY AVE SE","Washington","DC",20003
"1105","728 19TH ST NE","Washington","DC",20002
"1106","728 FARRAGUT ST NW","Washington","DC",20011
"1107","728 WEBSTER ST NW","Washington","DC",20011
"1108","728 WHITTIER ST NW","Washington","DC",20012
"1109","729 10TH ST NE","Washington","DC",20002
"1110","731 CRITTENDEN ST NE","Washington","DC",20017
"1111","731 FARADAY PL NE","Washington","DC",20017
"1112","7314 BLAIR RD NW","Washington","DC",20012
"1113","7315 13TH ST NW","Washington","DC",20012
"1114","733 18TH ST NE","Washington","DC",20002
"1115","733 18TH ST NE","Washington","DC",20002
"1116","733 FARRAGUT ST NW","Washington","DC",20011
"1117","733 HAMILTON ST NW","Washington","DC",20011
"1118","735 KENTUCKY AVE SE","Washington","DC",20003
"1119","735 NICHOLSON ST NE","Washington","DC",20011
"1120","735 NICHOLSON ST NE","Washington","DC",20011
"1121","738 FARRAGUT ST NW","Washington","DC",20011
"1122","739 MADISON ST NW","Washington","DC",20011
"1123","741 VARNUM ST NW","Washington","DC",20011
"1124","7422 EASTERN AVE NW","Washington","DC",20012
"1125","743 DECATUR ST NE","Washington","DC",20017
"1126","743 JEFFERSON ST NE","Washington","DC",20011
"1127","743 MADISON ST NW","Washington","DC",20011
"1128","749 GRESHAM PL NW","Washington","DC",20001
"1129","75 OBSERVATORY CIR NW","Washington","DC",20008
"1130","751 PRINCETON PL NW","Washington","DC",20010
"1131","7518 EASTERN AVE NW","Washington","DC",20012
"1132","755 NICHOLSON ST NE","Washington","DC",20011
"1133","756 HOBART PL NW","Washington","DC",20001
"1134","756 LAMONT ST NW","Washington","DC",20010
"1135","7610 17TH ST NW","Washington","DC",20012
"1136","762 MORTON ST NW","Washington","DC",20010
"1137","7627 9TH ST NW","Washington","DC",20012
"1138","763 COLUMBIA RD NW","Washington","DC",20001
"1139","77 V ST NW","Washington","DC",20001
"1140","777 19TH ST NE","Washington","DC",20002
"1141","78 S ST NW","Washington","DC",20001
"1142","8 ADAMS ST NW","Washington","DC",20001
"1143","8 GRANT CIR NW","Washington","DC",20011
"1144","8030 EASTERN AVE NW","Washington","DC",20012
"1145","804 I ST NE","Washington","DC",20002
"1146","804 RITTENHOUSE ST NW","Washington","DC",20011
"1147","806 20TH ST NE","Washington","DC",20002
"1148","807 BUCHANAN ST NW","Washington","DC",20011
"1149","808 CRITTENDEN ST NE","Washington","DC",20017
"1150","808 MARIETTA PL NW","Washington","DC",20011
"1151","808 TUCKERMAN ST NW","Washington","DC",20011
"1152","809 JEFFERSON ST NW","Washington","DC",20011
"1153","81 FLORIDA AVE NW","Washington","DC",20001
"1154","81 P ST NW","Washington","DC",20001
"1155","810 DELAFIELD PL NW","Washington","DC",20011
"1156","810 SOMERSET PL NW","Washington","DC",20011
"1157","8126 WEST BEACH DR NW","Washington","DC",20012
"1158","814 BUCHANAN ST NW","Washington","DC",20011
"1159","814 EMERSON ST NW","Washington","DC",20011
"1160","815 8TH ST NE","Washington","DC",20002
"1161","816 DELAFIELD PL NW","Washington","DC",20011
"1162","817 QUACKENBOS ST NW","Washington","DC",20011
"1163","817 TUCKERMAN ST NW","Washington","DC",20011
"1164","819 E ST SE","Washington","DC",20003
"1165","82 TUCKERMAN ST NW","Washington","DC",20011
"1166","820 CRITTENDEN ST NE","Washington","DC",20017
"1167","821 JEFFERSON ST NE","Washington","DC",20011
"1168","822 20TH ST NE","Washington","DC",20002
"1169","822 EMERSON ST NW","Washington","DC",20011
"1170","824 OTIS PL NW","Washington","DC",20010
"1171","824 OTIS PL NW","Washington","DC",20010
"1172","826 CRITTENDEN ST NW","Washington","DC",20011
"1173","827 DELAFIELD PL NW","Washington","DC",20011
"1174","827 INGRAHAM ST NW","Washington","DC",20011
"1175","827 L ST NE","Washington","DC",20002
"1176","827 RANDOLPH ST NW","Washington","DC",20011
"1177","828 JEFFERSON ST NE","Washington","DC",20011
"1178","829 11TH ST NE","Washington","DC",20002
"1179","832 5TH ST NE","Washington","DC",20002
"1180","832 JEFFERSON ST NW","Washington","DC",20011
"1181","834 21ST ST NE","Washington","DC",20002
"1182","834 MADISON ST NW","Washington","DC",20011
"1183","840 JEFFERSON ST NE","Washington","DC",20011
"1184","840 JEFFERSON ST NW","Washington","DC",20011
"1185","853 VENABLE PL NW","Washington","DC",20012
"1186","854 VENABLE PL NW","Washington","DC",20012
"1187","859 VENABLE PL NW","Washington","DC",20012
"1188","89 UNDERWOOD ST NW","Washington","DC",20012
"1189","9 U ST NW","Washington","DC",20001
"1190","902 MADISON ST NW","Washington","DC",20011
"1191","904 DELAFIELD PL NW","Washington","DC",20011
"1192","905 EMERSON ST NW","Washington","DC",20011
"1193","905 QUACKENBOS ST NW","Washington","DC",20011
"1194","906 11TH ST NE","Washington","DC",20002
"1195","906 ALLISON ST NW","Washington","DC",20011
"1196","906 KENT PL NE","Washington","DC",20002
"1197","908 LONGFELLOW ST NW","Washington","DC",20011
"1198","912 I ST NE","Washington","DC",20002
"1199","913 FARRAGUT ST NW","Washington","DC",20011
"1200","913 HAMLIN ST NE","Washington","DC",20017
"1201","914 C ST NE","Washington","DC",20002
"1202","914 SHERIDAN ST NW","Washington","DC",20011
"1203","915 12TH ST SE","Washington","DC",20003
"1204","915 9TH ST NE","Washington","DC",20002
"1205","915 EMERSON ST NW","Washington","DC",20011
"1206","916 EUCLID ST NW","Washington","DC",20001
"1207","917 MARYLAND AVE NE","Washington","DC",20002
"1208","918 INDEPENDENCE AVE SE","Washington","DC",20003
"1209","919 EMERSON ST NW","Washington","DC",20011
"1210","921 12TH ST SE","Washington","DC",20003
"1211","921 QUINCY ST NW","Washington","DC",20011
"1212","930 LONGFELLOW ST NW","Washington","DC",20011
"1213","933 8TH ST NE","Washington","DC",20002
"1214","937 WESTMINSTER ST NW","Washington","DC",20001
"1215","11 S ST NW","Washington","DC",20001
"1216","1120 EUCLID ST NW","Washington","DC",20009
"1217","1120 RHODE ISLAND AVE NW","Washington","DC",20005
"1218","1151 MORSE ST NE","Washington","DC",20002
"1219","117 T ST NW","Washington","DC",20001
"1220","12 RHODE ISLAND AVE NE","Washington","DC",20002
"1221","1227 MORSE ST NE","Washington","DC",20002
"1222","1241 SHEPHERD ST NW","Washington","DC",20011
"1223","127 QUINCY PL NE","Washington","DC",20002
"1224","1309 Q ST NW","Washington","DC",20009
"1225","1320 W ST NW","Washington","DC",20009
"1226","1321 21ST ST NW","Washington","DC",20036
"1227","1322 MONROE ST NW","Washington","DC",20010
"1228","1325 TAYLOR ST NW","Washington","DC",20011
"1229","1336 MERIDIAN PL NW","Washington","DC",20010
"1230","1337 SPRING RD NW","Washington","DC",20010
"1231","136 QUINCY PL NE","Washington","DC",20002
"1232","1391 FLORIDA AVE NE","Washington","DC",20002
"1233","1410 S ST NW","Washington","DC",20009
"1234","1422 EUCLID ST NW","Washington","DC",20009
"1235","1447 GIRARD ST NW","Washington","DC",20009
"1236","1459 S ST NW","Washington","DC",20009
"1237","1480 HARVARD ST NW","Washington","DC",20009
"1238","1501 VERMONT AVE NW","Washington","DC",20005
"1239","1513 OAK ST NW","Washington","DC",20010
"1240","1519 1ST ST NW","Washington","DC",20001
"1241","1523 3RD ST NW","Washington","DC",20001
"1242","1606 5TH ST NW","Washington","DC",20001
"1243","1636 MASSACHUSETTS AVE SE","Washington","DC",20003
"1244","1653 NEW JERSEY AVE NW","Washington","DC",20001
"1245","1700 Q ST NW","Washington","DC",20009
"1246","1732 BAY ST SE","Washington","DC",20003
"1247","1738 PARK RD NW","Washington","DC",20010
"1248","1815 MASSACHUSETTS AVE SE","Washington","DC",20003
"1249","1818 1ST ST NW","Washington","DC",20001
"1250","1845 KALORAMA RD NW","Washington","DC",20009
"1251","1916 9TH ST NW","Washington","DC",20001
"1252","1924 1ST ST NW","Washington","DC",20001
"1253","1924 1ST ST NW","Washington","DC",20001
"1254","1929 19TH ST NW","Washington","DC",20009
"1255","2026 NORTH CAPITOL ST NW","Washington","DC",20002
"1256","2035 13TH ST NW","Washington","DC",20009
"1257","22 RHODE ISLAND AVE NW","Washington","DC",20001
"1258","222 BATES ST NW","Washington","DC",20001
"1259","224 R ST NE","Washington","DC",20002
"1260","23 TODD PL NE","Washington","DC",20002
"1261","2311 1ST ST NW","Washington","DC",20001
"1262","2314 ASHMEAD PL NW","Washington","DC",20009
"1263","2435 ONTARIO RD NW","Washington","DC",20009
"1264","2516 17TH ST NW","Washington","DC",20009
"1265","2532 11TH ST NW","Washington","DC",20001
"1266","2550 UNIVERSITY PL NW","Washington","DC",20009
"1267","2616 GARFIELD ST NW","Washington","DC",20008
"1268","27 N ST NW","Washington","DC",20001
"1269","2723 13TH ST NW","Washington","DC",20009
"1270","2725 13TH ST NW","Washington","DC",20009
"1271","28 Q ST NE","Washington","DC",20002
"1272","2819 11TH ST NW","Washington","DC",20001
"1273","2825 11TH ST NW","Washington","DC",20001
"1274","301 K ST NE","Washington","DC",20002
"1275","3015 WARDER ST NW","Washington","DC",20001
"1276","3163 CHERRY RD NE","Washington","DC",20018
"1277","3320 NEW HAMPSHIRE AVE NW","Washington","DC",20010
"1278","3467 HOLMEAD PL NW","Washington","DC",20010
"1279","36 RHODE ISLAND AVE NE","Washington","DC",20002
"1280","3602 16TH ST NW","Washington","DC",20010
"1281","3609 13TH ST NW","Washington","DC",20010
"1282","3619 14TH ST NW","Washington","DC",20010
"1283","3813 NEW HAMPSHIRE AVE NW","Washington","DC",20011
"1284","3821 14TH ST NW","Washington","DC",20011
"1285","39 U ST NE","Washington","DC",20002
"1286","4012 KANSAS AVE NW","Washington","DC",20011
"1287","43 HANOVER PL NW","Washington","DC",20001
"1288","432 EVARTS ST NE","Washington","DC",20017
"1289","450 M ST NW","Washington","DC",20001
"1290","513 JEFFERSON ST NW","Washington","DC",20011
"1291","610 NEWTON PL NW","Washington","DC",20010
"1292","622 ROCK CREEK CHURCH RD NW","Washington","DC",20010
"1293","642 15TH ST NE","Washington","DC",20002
"1294","714 VARNUM ST NW","Washington","DC",20011
"1295","726 GIRARD ST NW","Washington","DC",20001
"1296","728 GIRARD ST NW","Washington","DC",20001
"1297","730 GIRARD ST NW","Washington","DC",20001
"1298","732 GIRARD ST NW","Washington","DC",20001
"1299","735 12TH ST SE","Washington","DC",20003
"1300","737 IRVING ST NW","Washington","DC",20010
"1301","801 9TH ST NE","Washington","DC",20002
"1302","806 RHODE ISLAND AVE NW","Washington","DC",20001
